epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
33,1608.21,0.30525,0.81141,1,0.41109,0.0006832,0.0006832,0.0006832
34,1655.13,0.29932,0.81313,1,0.41279,0.0006733,0.0006733,0.0006733
35,1701.72,0.28959,0.81141,1,0.4188,0.0006634,0.0006634,0.0006634
36,1747.91,0.27862,0.81928,1,0.40915,0.0006535,0.0006535,0.0006535
37,1794.37,0.28,0.82051,1,0.41434,0.0006436,0.0006436,0.0006436
38,1841.26,0.26929,0.81756,1,0.4201,0.0006337,0.0006337,0.0006337
39,1888.42,0.26143,0.82641,1,0.4217,0.0006238,0.0006238,0.0006238
40,1936.09,0.25833,0.82001,1,0.42477,0.0006139,0.0006139,0.0006139
41,1983.57,0.26058,0.82124,1,0.42183,0.000604,0.000604,0.000604
42,2030.6,0.24334,0.82395,1,0.4225,0.0005941,0.0005941,0.0005941
43,2077.01,0.24527,0.82739,1,0.41911,0.0005842,0.0005842,0.0005842
44,2123.8,0.23157,0.82469,1,0.41986,0.0005743,0.0005743,0.0005743
45,2170.6,0.22631,0.82419,1,0.42549,0.0005644,0.0005644,0.0005644
46,2217.79,0.22268,0.82297,1,0.43046,0.0005545,0.0005545,0.0005545
47,2265.32,0.21192,0.8269,1,0.43102,0.0005446,0.0005446,0.0005446
48,2317.42,0.21029,0.8296,1,0.42766,0.0005347,0.0005347,0.0005347
49,2368.65,0.20885,0.83329,1,0.43312,0.0005248,0.0005248,0.0005248
50,2418.98,0.20463,0.83108,1,0.43224,0.0005149,0.0005149,0.0005149
51,2469.03,0.20313,0.82862,1,0.4309,0.000505,0.000505,0.000505
52,2519.72,0.19159,0.83182,1,0.43139,0.0004951,0.0004951,0.0004951
53,2570.99,0.18529,0.83182,1,0.4327,0.0004852,0.0004852,0.0004852
54,2623.58,0.18875,0.83255,1,0.43936,0.0004753,0.0004753,0.0004753
55,2679.14,0.17383,0.83452,1,0.44239,0.0004654,0.0004654,0.0004654
56,2736.04,0.17195,0.83329,1,0.44932,0.0004555,0.0004555,0.0004555
57,2794.58,0.17491,0.83428,1,0.44862,0.0004456,0.0004456,0.0004456
58,2852.07,0.17002,0.83428,1,0.4509,0.0004357,0.0004357,0.0004357
59,2904.36,0.16733,0.83551,1,0.45401,0.0004258,0.0004258,0.0004258
60,2955.41,0.15625,0.83403,1,0.45915,0.0004159,0.0004159,0.0004159
61,3005.74,0.1634,0.83378,1,0.45833,0.000406,0.000406,0.000406
62,3056.22,0.14803,0.83354,1,0.46306,0.0003961,0.0003961,0.0003961
63,3107.96,0.15049,0.83354,1,0.46412,0.0003862,0.0003862,0.0003862
64,3161.03,0.14664,0.83428,1,0.46641,0.0003763,0.0003763,0.0003763
65,3218.87,0.15363,0.83403,1,0.46396,0.0003664,0.0003664,0.0003664
66,3278.45,0.13578,0.83428,1,0.46605,0.0003565,0.0003565,0.0003565
67,3340.1,0.13699,0.83329,1,0.46708,0.0003466,0.0003466,0.0003466
68,3402.8,0.13212,0.83378,1,0.46799,0.0003367,0.0003367,0.0003367
69,3465.64,0.13382,0.83354,1,0.46979,0.0003268,0.0003268,0.0003268
70,3531.01,0.1326,0.83354,1,0.46836,0.0003169,0.0003169,0.0003169
71,3598.1,0.1312,0.83378,1,0.47133,0.000307,0.000307,0.000307
72,3665.41,0.12846,0.83354,1,0.46796,0.0002971,0.0002971,0.0002971
73,3731.07,0.12307,0.83501,1,0.47123,0.0002872,0.0002872,0.0002872
74,3798.74,0.11744,0.83526,1,0.47446,0.0002773,0.0002773,0.0002773
